chapter,sentence
jeff102.pdf,"WHAT YOU CAN DO Divide your class into three groups and give each group one of the following topics to research: (i) black Americans, and their fight against discrimination, (ii) women, and their fight for equality , (iii) the Vietnamese, and their fight for independence."
jeff102.pdf,Choose a student from each group to present a short summary of each topic to the class.
jeff102.pdf,"Homophones Can you find the words below that are spelt similarly , and sometimes even pronounced similarly , but have very different meanings?"
jeff102.pdf,Check their pronunciation and meaning in a dictionary .
jeff102.pdf,•The bandage was wound around the wound.
jeff102.pdf,•The soldier decided to desert his dessert in the desert.
jeff102.pdf,28First Flight Reprint 2024-25 A T A TA TA TA Tiger in the Zooiger in the Zooiger in the Zooiger in the Zooiger in the Zoo This poem contrasts a tiger in the zoo with the tiger in its natural habitat.
jeff102.pdf,"The poem moves from the zoo to the jungle, and back again to the zoo."
jeff102.pdf,"Read the poem silently once, and say which stanzas speak about the tiger in the zoo, and which ones speak about the tiger in the jungle."
jeff102.pdf,"He stalks in his vivid stripes The few steps of his cage, On pads of velvet quiet, In his quiet rage."
jeff102.pdf,"He should be lurking in shadow, Sliding through long grass Near the water hole Where plump deer pass."
jeff102.pdf,"He should be snarling around houses At the jungle’s edge, Baring his white fangs, his claws, Terrorising the village!"
jeff102.pdf,"But he’s locked in a concrete cell, His strength behind bars, Stalking the length of his cage, Ignoring visitors."
jeff102.pdf,"He hears the last voice at night, The patrolling cars, And stares with his brilliant eyes At the brilliant stars."
jeff102.pdf,"LESLIE NORRIS Reprint 2024-25 snarls: makes an angry, warning sound 1.Read the poem again, and work in pairs or groups to do the following tasks."
jeff102.pdf,(i)Find the words that describe the movements and actions of the tiger in the cage and in the wild.
jeff102.pdf,Arrange them in two columns.
jeff102.pdf,"(ii)Find the words that describe the two places, and arrange them in two columns."
jeff102.pdf,Now try to share ideas about how the poet uses words and images to contrast the two situations.
jeff102.pdf,"2.Notice the use of a word repeated in lines such as these: (i)On pads of velvet quiet, In his quiet rage."
jeff102.pdf,(ii)And stares with his brilliant eyes At the brilliant stars.
jeff102.pdf,What do you think is the effect of this repetition?
jeff102.pdf,3.Read the following two poems — one about a tiger and the other about a panther .
jeff102.pdf,Then discuss: Are zoos necessary for the protection or conservation of some species of animals?
jeff102.pdf,Are they useful for educating the public?
jeff102.pdf,Are there alternatives to zoos?
jeff102.pdf,"The Tiger The tiger behind the bars of his cage growls, The tiger behind the bars of his cage snarls, The tiger behind the bars of his cage roars."
jeff102.pdf,Then he thinks.
jeff102.pdf,"It would be nice not to be behind bars all The time Because they spoil my view I wish I were wild, not on show."
jeff102.pdf,"But if I were wild, hunters might shoot me, But if I were wild, food might poison me, But if I were wild, water might drown me."
jeff102.pdf,Then he stops thinking And...
jeff102.pdf,"The tiger behind the bars of his cage growls, The tiger behind the bars of his cage snarls, The tiger behind the bars of his cage roars ."
jeff102.pdf,"PETER NIBLETT 30First Flight Reprint 2024-25 The Panther His vision, from the constantly passing bars, has grown so weary that it cannot hold anything else."
jeff102.pdf,"It seems to him there are a thousand bars; and behind the bars, no world."
jeff102.pdf,"As he paces in cramped cir cles, over and over , the movement of his powerful soft strides is like a ritual dance around a centre in which a mighty will stands paralysed."
jeff102.pdf,"Only at times, the curtain of the pupils lifts, quietly."
jeff102.pdf,"An image enters in, rushes down through the tensed, arrested muscles, plunges into the heart and is gone."
jeff102.pdf,"RAINER MARIA RILKE 4.Take a point of view for or against zoos, or even consider both points of view and write a couple of paragraphs or speak about this topic for a couple of minutes in class."
jeff102.pdf,VICTORIA SACKVILLE -WESTThe Greater Cats The greater cats with golden eyes Stare out between the bars.
jeff102.pdf,"Deserts are there, and different skies, And night with different stars."
jeff102.pdf,31 A Tiger in the Zoo Reprint 2024-25
jeff103.pdf,"BEFORE YOU R EAD Since the earliest times, humans have dreamt of conquering the skies."
jeff103.pdf,Here are two stories about flying.
jeff103.pdf,I.A young seagull is afraid to fly.
jeff103.pdf,How does he conquer his fear?
jeff103.pdf,II.A pilot is lost in storm clouds.
jeff103.pdf,Does he arrive safe?
jeff103.pdf,Who helps him?
jeff103.pdf,I His First Flight THE young seagull was alone on his ledge.
jeff103.pdf,His two brothers and his sister had already flown away the day before.
jeff103.pdf,He had been afraid to fly with them.
jeff103.pdf,Somehow when he had taken a little run forward to the brink of the ledge and attempted to flap his wings he became afraid.
jeff103.pdf,"The great expanse of sea stretched down beneath, and it was such a long way down — miles down."
jeff103.pdf,He felt certain that his wings would never support him; so he bent his head and ran away back to the little hole under the ledge where he slept at night.
jeff103.pdf,"Even when each of his brothers and his little sister , whose wings were far shorter than his own, ran to the brink, flapped their wings, and flew away, he failed to muster up courage to take that plunge which appeared to him so desperate."
jeff103.pdf,"His father and mother had come aroundledge a narrow horizontal shelf projecting from a wall or (here) a cliff Reprint 2024-25 calling to him shrilly, upbraiding him, threatening to let him starve on his ledge unless he flew away."
jeff103.pdf,But for the life of him he could not move.
jeff103.pdf,That was twenty-four hours ago.
jeff103.pdf,Since then nobody had come near him.
jeff103.pdf,"The day before, all day long, he had watched his parents flying about with his br others and sister , per fecting them in the art of flight, teaching them how to skim the waves and how to dive for fish."
jeff103.pdf,"He had, in fact, seen his older brother catch his first herring and devour it, standing on a rock, while his parents circled around raising a proud cackle."
jeff103.pdf,And all the morning the whole family had walked about on the big plateau midway down the opposite cliff taunting him with his cowardice.
jeff103.pdf,"The sun was now ascending the sky, blazing on his ledge that faced the south."
jeff103.pdf,He felt the heat because he had not eaten since the previous nightfall.
jeff103.pdf,"He stepped slowly out to the brink of the ledge, and standing on one leg with the other leg hidden under his wing, he closed one eye, then the other ,herring a soft-finned sea fish(to) skim to move lightly just above a surface (here, the sea)upbraiding scolding 33 Two Stories about Fl ying Reprint 2024-25 34First Flight and pretended to be falling asleep."
jeff103.pdf,Still they took no notice of him.
jeff103.pdf,He saw his two brothers and his sister lying on the plateau dozing with their heads sunk into their necks.
jeff103.pdf,His father was preening the feathers on his white back.
jeff103.pdf,Only his mother was looking at him.
jeff103.pdf,"She was standing on a little high hump on the plateau, her white breast thrust forward."
jeff103.pdf,"Now and again, she tore at a piece of fish that lay at her feet and then scrapped each side of her beak on the rock."
jeff103.pdf,The sight of the food maddened him.
jeff103.pdf,"How he loved to tear food that way, scrapping his beak now and again to whet it."
jeff103.pdf,"“Ga, ga, ga,” he cried begging her to bring him some food."
jeff103.pdf,"“Gaw-col-ah,” she screamed back derisively."
jeff103.pdf,"But he kept calling plaintively, and after a minute or so he uttered a joyful scream."
jeff103.pdf,His mother had picked up a piece of the fish and was flying across to him with it.
jeff103.pdf,"He leaned out(to) whet to sharpen derisively in a manner showing someone that she/he is stupidpreening making an effort to maintain feathers Reprint 2024-25 35 Two Stories about Fl yingeagerly, tapping the rock with his feet, trying to get nearer to her as she flew across."
jeff103.pdf,"But when she was just opposite to him, she halted, her wings motionless, the piece of fish in her beak almost within reach of his beak."
jeff103.pdf,"He waited a moment in surprise, wondering why she did not come nearer , and then, maddened by hunger , he dived at the fish."
jeff103.pdf,With a loud scream he fell outwards and downwards into space.
jeff103.pdf,Then a monstrous terror seized him and his heart stood still.
jeff103.pdf,He could hear nothing.
jeff103.pdf,But it only lasted a minute.
jeff103.pdf,The next moment he felt his wings spread outwards.
jeff103.pdf,"The wind rushed against his breast feathers, then under his stomach, and against his wings."
jeff103.pdf,He could feel the tips of his wings cutting through the air .
jeff103.pdf,He was not falling headlong now.
jeff103.pdf,He was soaring gradually downwards and outwards.
jeff103.pdf,He was no longer afraid.
jeff103.pdf,He just felt a bit dizzy.
jeff103.pdf,Then he flapped his wings once and he soared upwards.
jeff103.pdf,"“Ga, ga, ga, Ga, ga, ga, Gaw-col-ah,” his mother swooped past him, her wings making a loud noise."
jeff103.pdf,He answered her with another scream.
jeff103.pdf,Then his father flew over him screaming.
jeff103.pdf,He saw his two brothers and his sister flying around him curveting and banking and soaring and diving.
jeff103.pdf,"Then he completely forgot that he had not always been able to fly, and commended himself to dive and soar and curve, shrieking shrilly."
jeff103.pdf,"He was near the sea now, flying straight over it, facing straight out over the ocean."
jeff103.pdf,"He saw a vast green sea beneath him, with little ridges moving over it and he turned his beak sideways and cawed amusedly."
jeff103.pdf,His parents and his brothers and sister had landed on this green flooring ahead of him.
jeff103.pdf,"They were beckoning to him, calling shrilly."
jeff103.pdf,He dropped his legs to stand on the green sea.
jeff103.pdf,His legs sank into it.
jeff103.pdf,He screamed with fright and attempted to rise again flapping his wings.
jeff103.pdf,"But he was tired and weak with hunger and he could not rise, exhausteddizzy an uncomfortable feeling of spinning around and losing one’s balance curveting leaping like a horse banking flying with one wing higher than the other Reprint 2024-25 36First Flight 1.Why was the young seagull afraid to fly?"
jeff103.pdf,"Do you think all young birds are afraid to make their first flight, or are some birds more timid than others?"
jeff103.pdf,Do you think a human baby also finds it a challenge to take its first steps?
jeff103.pdf,2.“The sight of the food maddened him.” What does this suggest?
jeff103.pdf,What compelled the young seagull to finally fly?
jeff103.pdf,"3.“They were beckoning to him, calling shrilly.” Why did the seagull’s father and mother threaten him and cajole him to fly?"
jeff103.pdf,"4.Have you ever had a similar experience, where your parents encouraged you to do something that you were too scared to try?"
jeff103.pdf,Discuss this in pairs or groups.
jeff103.pdf,"5.In the case of a bird flying, it seems a natural act, and a foregone conclusion that it should succeed."
jeff103.pdf,"In the examples you have given in answer to the previous question, was your success guaranteed, or was it important for you to try, regardless of a possibility of failure?"
jeff103.pdf,We have just r ead about the first flight of a young seagull.
jeff103.pdf,Y our teacher will now divide the class into groups.
jeff103.pdf,Each group will work on one of the following topics.
jeff103.pdf,Prepare a presentation with your group members and then present it to the entire class.
jeff103.pdf,•Progression of Models of Airplanes •Progression of Models of Motorcars •Birds and Their Wing Span •Migratory Birds — Tracing Their Flights Write a short composition on your initial attempts at lear ning a skill.
jeff103.pdf,Y ou could describe the challenges of learning to ride a bicycle or learning to swim.
jeff103.pdf,Make it as humorous as possible.
jeff103.pdf,by the strange exercise.
jeff103.pdf,"His feet sank into the green sea, and then his belly touched it and he sank no farther ."
jeff103.pdf,"He was floating on it, and ar ound him his family was screaming, praising him and their beaks were offering him scraps of dog-fish."
jeff103.pdf,He had made his first flight.
jeff103.pdf,"Reprint 2024-25 37 Two Stories about Fl yingII The Black Aeroplane THE moon was coming up in the east, behind me, and stars were shining in the clear sky above me."
jeff103.pdf,There wasn’t a cloud in the sky.
jeff103.pdf,I was happy to be alone high up above the sleeping countryside.
jeff103.pdf,I was flying my old Dakota aeroplane over France back to England.
jeff103.pdf,I was dreaming of my holiday and looking forward to being with my family.
jeff103.pdf,I looked at my watch: one thirty in the morning.
jeff103.pdf,"‘I should call Paris Control soon,’ I thought."
jeff103.pdf,"As I looked down past the nose of the aeroplane, I saw the lights of a big city in front of me."
jeff103.pdf,"I switched on the radio and said, “Paris Control, Dakota DS 088 here."
jeff103.pdf,Can you hear me?
jeff103.pdf,I’m on my way to England.
jeff103.pdf,"Over.” The voice from the radio answered me immediately: “DS 088, I can hear you."
jeff103.pdf,"Y ou ought to tur n twelve degrees west now, DS 088."
jeff103.pdf,"Over .” I checked the map and the compass, switched over to my second and last fuel tank, and turned the Dakota twelve degrees west towards England."
jeff103.pdf,"‘I’ll be in time for breakfast,’ I thought."
jeff103.pdf,A good big English breakfast!
jeff103.pdf,Everything was going well — it was an easy flight.
jeff103.pdf,Paris was about 150 kilometres behind me when I saw the clouds.
jeff103.pdf,Storm clouds.
jeff103.pdf,They were huge.
jeff103.pdf,They looked like black mountains standing in front of me across the sky.
jeff103.pdf,"I knew I could not fly up and over them, and I did not have enough fuel to fly around them to the north or south."
jeff103.pdf,"“I ought to go back to Paris,” I thought, but I wanted to get home."
jeff103.pdf,I wanted that breakfast.
jeff103.pdf,"‘I’ll take the risk,’ I thought, and flew that old Dakota straight into the storm."
jeff103.pdf,"Inside the clouds, everything was suddenly black."
jeff103.pdf,It was impossible to see anything outside the aeroplane.
jeff103.pdf,The old aeroplane jumped and twisted in the air .
jeff103.pdf,I looked at the compass.
jeff103.pdf,I couldn’t believe Reprint 2024-25 38First Flight my eyes: the compass was turning round and round and round.
jeff103.pdf,It was dead.
jeff103.pdf,It would not work!
jeff103.pdf,"The other instruments were suddenly dead, too."
jeff103.pdf,I tried the radio.
jeff103.pdf,“Paris Control?
jeff103.pdf,Paris Control?
jeff103.pdf,Can you hear me?” There was no answer .
jeff103.pdf,The radio was dead too.
jeff103.pdf,"I had no radio, no compass, and I could not see where I was."
jeff103.pdf,I was lost in the storm.
jeff103.pdf,"Then, in the black clouds quite near me, I saw another aeroplane."
jeff103.pdf,"It had no lights on its wings, but I could see it flying next to me through the storm."
jeff103.pdf,I could see the pilot’s face — turned towards me.
jeff103.pdf,I was very glad to see another person.
jeff103.pdf,He lifted one hand and waved.
jeff103.pdf,"“Follow me,” he was saying."
jeff103.pdf,"“Follow me.” ‘He knows that I am lost,’ I thought."
jeff103.pdf,"‘He’s trying to help me.’ He turned his aeroplane slowly to the north, in front of my Dakota, so that it would be easier for me to follow him."
jeff103.pdf,I was very happy to go behind the strange aeroplane like an obedient child.
jeff103.pdf,After half an hour the strange black aeroplane was still there in front of me in the clouds.
jeff103.pdf,Now Reprint 2024-25 39 Two Stories about Fl ying there was only enough fuel in the old Dakota’s last tank to fly for five or ten minutes more.
jeff103.pdf,I was starting to feel frightened again.
jeff103.pdf,But then he started to go down and I followed through the storm.
jeff103.pdf,Suddenly I came out of the clouds and saw two long straight lines of lights in front of me.
jeff103.pdf,It was a runway!
jeff103.pdf,An airport!
jeff103.pdf,I was safe!
jeff103.pdf,"I turned to look for my friend in the black aeroplane, but the sky was empty."
jeff103.pdf,There was nothing there.
jeff103.pdf,The black aeroplane was gone.
jeff103.pdf,I could not see it anywhere.
jeff103.pdf,I landed and was not sorry to walk away from the old Dakota near the contr ol tower .
jeff103.pdf,I went and asked a woman in the control centre where I was and who the other pilot was.
jeff103.pdf,I wanted to say ‘Thank you’.
jeff103.pdf,"She looked at me very strangely, and then laughed."
jeff103.pdf,“Another aeroplane?
jeff103.pdf,Up there in this storm?
jeff103.pdf,No other aer oplanes wer e flying tonight.
jeff103.pdf,"Y ours was the only one I could see on the radar .” So who helped me to arrive there safely without a compass or a radio, and without any more fuel in my tanks?"
jeff103.pdf,"Who was the pilot on the strange black aeroplane, flying in the storm, without lights?"
jeff103.pdf,Reprint 2024-25 40First Flight 1.“I’ll take the risk.” What is the risk?
jeff103.pdf,Why does the narrator take it?
jeff103.pdf,2.Describe the narrator’s experience as he flew the aeroplane into the storm.
jeff103.pdf,"3.Why does the narrator say, “I landed and was not sorry to walk away from the old Dakota…”?"
jeff103.pdf,4.What made the woman in the control centre look at the narrator strangely?
jeff103.pdf,5.Who do you think helped the narrator to reach safely?
jeff103.pdf,Discuss this among yourselves and give r easons for your answer .
jeff103.pdf,I.Study the sentences given below.
jeff103.pdf,(a)They looked like black mountains.
jeff103.pdf,"(b)Inside the clouds, everything was suddenly black."
jeff103.pdf,"(c)In the black clouds near me, I saw another aeroplane."
jeff103.pdf,(d)The strange black aeroplane was there.
jeff103.pdf,The wor d ‘black’ in sentences (a) and (c) r efers to the very darkest colour .
jeff103.pdf,But in (b) and (d) (here) it means without light/with no light.
jeff103.pdf,‘Black’ has a variety of meanings in different contexts.
jeff103.pdf,For example: (a)‘I prefer black tea’ means ‘I prefer tea without milk’.
jeff103.pdf,(b)‘With increasing pollution the future of the world is black ’ means ‘With increasing pollution the future of the world is very depressing/ without hope’.
jeff103.pdf,"Now, try to guess the meanings of the word ‘black’ in the sentences given below."
jeff103.pdf,Check the meanings in the dictionary and find out whether you have guessed right.
jeff103.pdf,1.Go and have a bath; your hands and face are absolutely black.
jeff103.pdf,2.The taxi-driver gave Ratan a black look as he crossed the road when the traffic light was green.
jeff103.pdf,3.The bombardment of Hiroshima is one of the black est crimes against humanity.
jeff103.pdf,4.Very few people enjoy Har old Pinter’s black comedy.
jeff103.pdf,5.Sometimes shopkeepers store essential goods to create false scarcity and then sell these in black .
jeff103.pdf,6.Villagers had beaten the criminal black and blue.
jeff103.pdf,Reprint 2024-25 41 Two Stories about Fl ying A B 1.Fly a flag –Move quickly/suddenly 2.Fly into rage –Be successful 3.Fly along –Display a flag on a long pole 4.Fly high –Escape from a place 5.Fly the coop –Become suddenly very angryII.Look at these sentences taken from the lesson you have just read: (a)I was flying my old Dakota aeroplane.
jeff103.pdf,(b)The young seagull had been afraid to fly with them.
jeff103.pdf,In the first sentence the author was contr olling an air craft in the air .
jeff103.pdf,Another example is: Children are flying kites.
jeff103.pdf,"In the second sentence the seagull was afraid to move thr ough the air , using its wings."
jeff103.pdf,Match the phrases given under Column A with their meanings given under Column B: III.We know that the wor d ‘fly’ (of bir ds/insects) means to move thr ough air using wings.
jeff103.pdf,Tick the words which have the same or nearly the same meaning.
jeff103.pdf,swoop flit paddle flutter ascend float ride skim sink dart hover glide descend soar shoot spring stay fall sail flap Have you ever been alone or away from home during a thunderstorm?
jeff103.pdf,Narrate your experience in a paragraph.
jeff103.pdf,"WHAT WE HAVE DONE Provided two stories about flying — one about a bird, another about a human being in a plane."
jeff103.pdf,"WHAT YOU CAN DO •As they read the story of the seagull, students can be asked to imagine how a baby learns to walk, and compare and contrast the two situations."
jeff103.pdf,Reprint 2024-25 •After they read the second story students should be asked for their ideas about the phantom plane: W as it really there or did the pilot imagine it?
jeff103.pdf,"If the students feel it was really there, who could have been piloting it?"
jeff103.pdf,•Ask students to narrate their own stories about flying.
jeff103.pdf,"It could be about flying in an airplane, or flying a kite, or about watching a bird flying — in short, anything to do with flight."
jeff103.pdf,"Give students ten minutes to think quietly about the topic — during this time, they can make notes about what they want to say ."
jeff103.pdf,Then ask for volunteer speakers.
jeff103.pdf,42First Flight Compound W ords Whose P arts Mean Just the Opposite or Something Else •Quicksand works slowly •There in no egg in eggplant nor ham in hamburger; neither apple nor pine in pineapple.
jeff103.pdf,•Boxing rings are square Reprint 2024-25 Ho HoHoHoHow to Tw to Tw to Tw to Tw to T ell W ell W ell W ell Well Wild Animalsild Animalsild Animalsild Animalsild Animals This humorous poem suggests some dangerous ways to identify (or ‘tell’) wild animals!
jeff103.pdf,"Read it aloud, keeping to a strong and regular rhythm."
jeff103.pdf,"If ever you should go by chance To jungles in the east; And if there should to you advance A large and tawny beast, If he roars at you as you’re dyin’ You’ll know it is the Asian Lion... Or if some time when roaming round, A noble wild beast greets you, With black stripes on a yellow ground, Just notice if he eats you."
jeff103.pdf,"This simple rule may help you learn The Bengal T iger to discer n. If strolling forth, a beast you view, Whose hide with spots is peppered, As soon as he has lept on you, You’ll know it is the Leopard."
jeff103.pdf,"’Twill do no good to roar with pain, He’ll only lep and lep again."
jeff103.pdf,"Reprint 2024-25 If when you’re walking round your yard You meet a cr eatur e ther e, Who hugs you very, very hard, Be sur e it is a Bear ."
jeff103.pdf,"If you have any doubts, I guess He’ll give you just one more caress."
jeff103.pdf,"Though to distinguish beasts of prey A novice might nonplus, The Crocodile you always may Tell from the Hyena thus: Hyenas come with merry smiles; But if they weep they’re Crocodiles."
jeff103.pdf,"The true Chameleon is small, A lizard sort of thing; He hasn’t any ears at all, And not a single wing."
jeff103.pdf,"If there is nothing on the tree, ’Tis the chameleon you see."
jeff103.pdf,"CAROLYN WELLS ground : background discern : make out; identify hide: animal skin peppered : here, covered with spots caress : a gentle, loving touch novice : someone new to a job (be) nonplus (sed) (usually only in the passive) : (be) puzzle(d), confuse(d), surprise(d)44First Flight Reprint 2024-25 1.Does ‘dyin ’ really rhyme with ‘lion’?"
jeff103.pdf,Can you say it in such a way that it does?
jeff103.pdf,2.How does the poet suggest that you identify the lion and the tiger?
jeff103.pdf,"When can you do so, according to him?"
jeff103.pdf,3.Do you think the words ‘lept‘ and ‘lep’ in the third stanza are spelt correctly?
jeff103.pdf,Why does the poet spell them like this?
jeff103.pdf,4.Do you know what a ‘bearhug’ is?
jeff103.pdf,"It’s a friendly and strong hug — such as bears are thought to give, as they attack you!"
jeff103.pdf,"Again, hyenas are thought to laugh, and crocodiles to weep (‘crocodile tears’) as they swallow their victims."
jeff103.pdf,Are there similar expressions and popular ideas about wild animals in your own language(s)?
jeff103.pdf,5.Look at the line “A novice might nonplus”.
jeff103.pdf,How would you write this ‘correctly’?
jeff103.pdf,Why is the poet’s ‘incorrect’ line better in the poem?
jeff103.pdf,"6.Can you find other examples of poets taking liberties with language, either in English or in your own language(s)?"
jeff103.pdf,Can you find examples of humorous poems in your own language(s)?
jeff103.pdf,"7.Much of the humour in the poem arises from the way language is used, although the ideas are funny as well."
jeff103.pdf,"If there are particular lines in the poem that you especially like, share these with the class, speaking briefly about what it is about the ideas or the language that you like or find funny."
jeff103.pdf,"45 How to T ell Wild Animals English is funny , because... We have noses that run and feet that smell Reprint 2024-25 The Ball PoemThe Ball PoemThe Ball PoemThe Ball PoemThe Ball Poem A boy loses a ball."
jeff103.pdf,He is very upset.
jeff103.pdf,"A ball doesn’t cost much, nor is it difficult to buy another ball."
jeff103.pdf,Why then is the boy so upset?
jeff103.pdf,"Read the poem to see what the poet thinks has been lost, and what the boy has to learn from the experience of losing something."
jeff103.pdf,"What is the boy now, who has lost his ball, What, what is he to do?"
jeff103.pdf,"I saw it go Merrily bouncing, down the street, and then Merrily over — there it is in the water!"
jeff103.pdf,"No use to say ‘O there are other balls’: An ultimate shaking grief fixes the boy As he stands rigid, trembling, staring down All his young days into the harbour where His ball went."
jeff103.pdf,"I would not intrude on him; A dime, another ball, is worthless."
jeff103.pdf,Now He senses first responsibility In a world of possessions.
jeff103.pdf,"People will take Balls, balls will be lost always, little boy."
jeff103.pdf,And no one buys a ball back.
jeff103.pdf,Money is external.
jeff103.pdf,"He is learning, well behind his desperate eyes, The epistemology of loss, how to stand up Knowing what every man must one day know And most know many days, how to stand up."
jeff103.pdf,"JOHN BERRYMAN O there are other balls : The words suggest that the loss is not important enough to worry about shaking grief: sadness which greatly affects the boy rigid: stiff Reprint 2024-25 (to) intrude on: here, to enter a situation where one is not welcome a dime : ten cents (U.S.) desperate : hopeless epistemology of loss : understanding the nature of loss — what it means to lose something epistemology : The Greek word episteme means ‘knowledge’ (it comes from a word meaning ‘to understand, to know’)."
jeff103.pdf,Epistemology is the study of the nature of knowledge itself.
jeff103.pdf,"In pairs, attempt the following questions."
jeff103.pdf,"1.Why does the poet say, “I would not intrude on him”?"
jeff103.pdf,Why doesn’t he offer him money to buy another ball?
jeff103.pdf,2.“… staring down/All his young days into the harbour where/His ball went …” Do you think the boy has had the ball for a long time?
jeff103.pdf,Is it linked to the memories of days when he played with it?
jeff103.pdf,3.What does “in the world of possessions” mean?
jeff103.pdf,4.Do you think the boy has lost anything earlier?
jeff103.pdf,Pick out the words that suggest the answer .
jeff103.pdf,5.What does the poet say the boy is learning from the loss of the ball?
jeff103.pdf,Try to explain this in your own words.
jeff103.pdf,6.Have you ever lost something you liked very much?
jeff103.pdf,"W rite a paragraph describing how you felt then, and saying whether — and how — you got over your loss."
jeff103.pdf,47 The Ball Poem Reprint 2024-25
jeff104.pdf,BEFORE YOU R EAD Anneliese Marie ‘Anne’ Frank (12 June 1929 – February/March 1945) was a German – born Jewish girl who wrote while in hiding with her family and four friends in Amsterdam during the German occupation of the Netherlands in W orld W ar II.
jeff104.pdf,Her family had moved to Amsterdam after the Nazis gained power in Germany but were trapped when the Nazi occupation extended into the Netherlands.
jeff104.pdf,"As persecutions against the Jewish population increased, the family went into hiding in July 1942 in hidden rooms in her father Otto Frank’s office building."
jeff104.pdf,"After two years in hiding, the group was betrayed and transported to the concentration camp system where Anne died of typhus in Ber gen-Belsen within days of her sister , Mar got Frank."
jeff104.pdf,"Her father , Otto, the only survivor of the gr oup, r eturned to Amster dam after the war ended, to find that her diary had been saved."
jeff104.pdf,"Convinced that it was a unique record, he took action to have it published in English under the name The Diary of a Y oung Girl ."
jeff104.pdf,The diary was given to Anne Frank for her thirteenth birthday and chronicles the events of her life from 12 June 1942 until its final entry of 1 August 1944.
jeff104.pdf,It was eventually translated from its original Dutch into many languages and became one of the world’s most widely read books.
jeff104.pdf,"There have also been several films, television and theatrical productions, and even an opera, based on the diary."
jeff104.pdf,"Described as the work of a mature and insightful mind, the diary provides an intimate examination of daily life under Nazi occupation."
jeff104.pdf,Anne Frank has become one of the most renowned and discussed of the Holocaust victims.“This is a photo as I would wish myself to look all the time.
jeff104.pdf,"Then I would, maybe, have a chance to come to Hollywood.” –Anne Frank, 10 October 1942 Reprint 2024-25 2.Here are some entries from personal records."
jeff104.pdf,"Use the definitions above to decide which of the entries might be from a diary, a journal, a log or a memoir ."
jeff104.pdf,(i)I woke up very late today and promptly got a scolding from Mum!
jeff104.pdf,I can’t help it — how can I miss the FIF A World Cup matches?
jeff104.pdf,Ans: (ii)10:30 a.m.
jeff104.pdf,Went to the of fice of the Dir ector 01:00 p.m. Had lunch with Chairman 05:45 p.m.
jeff104.pdf,Received Rahul at the airport 09:30 p.m. Dinner at home Ans: (iii)The ride to Ooty was uneventful.
jeff104.pdf,"W e rested for a while every 50 km or so, and used the time to capture the magnificent landscape with my HandyCam."
jeff104.pdf,From Ooty we went on to Bangalore.
jeff104.pdf,What a contrast!
jeff104.pdf,The noise and pollution of this once-beautiful city really broke my heart.
jeff104.pdf,Ans: (iv)This is how Raj Kapoor found me — all wet and ragged outside R.K.Studios.
jeff104.pdf,"He was then looking for just someone like this for a small r ole in Mera Naam Joker, and he cast me on the spot."
jeff104.pdf,"The rest, as they say, is history!"
jeff104.pdf,Ans: 49 From the Diary of Anne FrankActivity 1.Do you keep a diary?
jeff104.pdf,Given below under ‘A’ are some terms we use to describe a written record of personal experience.
jeff104.pdf,Can you match them with their descriptions under ‘B’?
jeff104.pdf,(Y ou may look up the terms in a dictionary if you wish.)
jeff104.pdf,"B –A book with a separate space or page for each day, in which you write down your thoughts and feelings or what has happened on that day –A full record of a journey, a period of time, or an event, written every day –A record of a person’s own life and experiences (usually, a famous person) –A written record of events with times and dates, usually officialA (i)Journal (ii)Diary (iii)Log (iv)Memoir(s) Reprint 2024-25 50First FlightWRITING in a diary is a really strange experience for someone like me."
jeff104.pdf,"Not only because I’ve never written anything before, but also because it seems to me that later on neither I nor anyone else will be inter ested in the musings of a thirteen-year -old schoolgirl."
jeff104.pdf,"Oh well, it doesn’t matter ."
jeff104.pdf,"I feel like writing, and I have an even greater need to get all kinds of things off my chest."
jeff104.pdf,"‘Paper has more patience than people.’ I thought of this saying on one of those days when I was feeling a little depressed and was sitting at home with my chin in my hands, bored and listless, wondering whether to stay in or go out."
jeff104.pdf,"I finally stayed where I was, br ooding: Y es, paper does have more patience, and since I’m not planning to let anyone else read this stiff-backed notebook grandly referred to as a ‘diary’, unless I should ever find a real friend, it probably won’t make a bit of difference."
jeff104.pdf,Now I’m back to the point that prompted me to keep a diary in the first place: I don’t have a friend.
jeff104.pdf,"Let me put it more clearly, since no one will believe that a thirteen-year -old girl is completely alone in the world."
jeff104.pdf,And I’m not.
jeff104.pdf,"I have loving parents and a sixteen-year -old sister , and ther e are about thirty people I can call friends."
jeff104.pdf,"I have a family, loving aunts and a good home."
jeff104.pdf,"No, on the surface I seem to have everything, except my one true friend."
jeff104.pdf,All I think about when I’m with friends is having a good time.
jeff104.pdf,I can’t bring myself to talk about anything but or dinary everyday things.
jeff104.pdf,"W e don’t seem to be able to get any closer , and that’s the problem."
jeff104.pdf,Maybe it’s my fault that we don’t confide in each other .
jeff104.pdf,"In any case, that’s just how things are, and unfortunately they’re not liable to change."
jeff104.pdf,This is why I’ve started the diary.
