rid,origin,application,name,rating,date,review,sentiment-score,sentiment,key phrases,entities
562,Google Play Store,African Bank,Gugulethu Mrwebi,2,07/09/2019 00:00:00,I've been struggling to apply for card via online everytime when I'm applying for card it keep saying app stopped i can't go through some step,0.00351589918136597,Negative,"step,app,online everytime,card,",NULL
563,Google Play Store,African Bank,Lesley Williams,5,03/08/2019 00:00:00,Great app! Simple and easy to use. Make payments and transfer with a touch of a button. View and check your balances and statements. Set up biometrics so you can log on easy. 2 step logging so it's more secure than just your pin.,0.999226331710816,Postive,"pin,Great app,button,payments,step logging,statements,balances,View,touch,transfer,",NULL
564,Google Play Store,African Bank,kgaugelo mothapo,2,01/08/2019 00:00:00,The new public app does not work. Besides that it's a great and convenient App. A one stop shop.,0.115695714950562,Negative,"new public app,stop shop,",NULL
565,Google Play Store,African Bank,Stacey miller,5,01/08/2019 00:00:00,Seems to working fine now I've done a few tranfers and it was working perfectly.,0.213225603103638,Negative,"tranfers,",NULL
567,Google Play Store,African Bank,Nicolene Krappies,1,06/07/2019 00:00:00,My banking app dont log in always an error,0.0506294667720795,Negative,"error,banking app dont log,",NULL
570,Google Play Store,African Bank,Witness mukombedzi,5,09/06/2019 00:00:00,The best Bank App ever very easy to use,0.860780775547028,Postive,"best Bank App,",NULL
571,Google Play Store,African Bank,Elphas MGT Techonology,1,02/06/2019 00:00:00,This app is useless freezing on startup,0.0178819298744202,Negative,"startup,useless freezing,app,",NULL
566,Google Play Store,African Bank,jennifer Dikeledi,1,06/07/2019 00:00:00,I am forever trying to apply from it I don't get response.i try make call back options it doesn't have customer chat on it.how am I suppose to know what's wrong if I can't get call back Nd ur app isn't a have any help then it's a very bad app am disappointed,0.000000715255737304688,Negative,"response,customer chat,options,help,Nd ur app,bad app,",NULL
568,Google Play Store,African Bank,Maria Qumayo,1,04/07/2019 00:00:00,Can't even log in. ?? told my password is invalid and I KNOW I'm entering the CORRECT password. Mxm,0.0000245571136474609,Negative,"Mxm,log,CORRECT password,",NULL
569,Google Play Store,African Bank,Maria Qumayo,1,03/07/2019 00:00:00,Can't even log in. ?? told my password is invalid and I KNOW I'm entering the CORRECT password. Mxm,0.0000245571136474609,Negative,"Mxm,log,CORRECT password,",NULL
572,Google Play Store,African Bank,Bothwell Kadye,2,01/06/2019 00:00:00,"Sorry team you need to hear this. 1. Your banking app is extremely slow so slow that many a time I have had to abandon transacting due to slow turn around time and that is very frustrating as you can imagine. 2. The app does not allow me to buy airtime in the excess of Fifty Rand if it does allow me and again not mention the frustration of being unable to communicate with our loved ones. Improve this guys we have enough stress from other social-economic situations already, our banks should not contribute more. You've got to do something and urgently.",0.0000031590461730957,Negative,"guys,frustration,Sorry team,banks,loved ones,Rand,excess,airtime,social-economic situations,stress,banking app,slow turn,",NULL
573,Google Play Store,African Bank,JEREMIA MAHOBJA,1,01/06/2019 00:00:00,I can not for sake of God log in.. went to the branch to reset it and they still couldn't help,0.0960898101329804,Negative,"branch,sake of God log,",NULL
574,Google Play Store,African Bank,Mondli Dlamini,1,09/05/2019 00:00:00,so disappointed with this app it just stops running the minute I try to choose an option for banking,0.000803351402282715,Negative,"banking,minute,option,app,",NULL
575,Google Play Store,African Bank,Moosa Mlekeleli Dawood-Lukhozi,3,08/05/2019 00:00:00,"Very nice app. I like the simple yet effective layout. However the app is extremely slow, takes way too long on processing transactions. In future versions, please incorporate the rewards element instead of having to go onto a seperate website",0.783191084861755,Postive,"seperate website,processing transactions,app,effective layout,rewards element,future versions,",NULL
576,Google Play Store,African Bank,tebogo malebye,1,08/05/2019 00:00:00,I keep going to the bank Because i cant login its frustrating doing the same thing over and over,0.0100279450416565,Negative,"thing,bank,frustrating,login,",NULL
577,Google Play Store,African Bank,Nhlanhleni Nyembe,1,06/05/2019 00:00:00,This application does not work at all. Disappointing from a financial institution.,0.0045924186706543,Negative,"application,financial institution,",NULL
578,Google Play Store,African Bank,Slick Lee,4,10/04/2019 00:00:00,Very easy to use interface.I am loving it.,0.994239330291748,Postive,"interface,",NULL
579,Google Play Store,African Bank,Melissa De Bruin,1,05/04/2019 00:00:00,Unable to log in as it keeps denying my login details...have blocked account and unable to get to a bank branch.Have tried resetting online but also no go....,0.00000938773155212402,Negative,"bank branch,login details,account,",NULL
596,Google Play Store,Bidvest Bank,A Google user,5,31/03/2021 00:00:00,Very good app,0.894477844238281,Postive,"good app,",NULL
598,Google Play Store,Bidvest Bank,A Google user,2,31/03/2019 00:00:00,I'm battling to get in... keeps deactivating me,0.0494738519191742,Negative,,NULL
599,Google Play Store,Bidvest Bank,Boris Boris,5,30/11/2021 00:00:00,does what it promised,0.775705277919769,Postive,,NULL
580,Google Play Store,African Bank,mokgethi elias,5,11/02/2019 00:00:00,I like it. I like it more special i can view my credit report every day . I am in control of my banking system 24 hours,0.997944355010986,Postive,"day,credit,hours,banking system,control,special i,",NULL
581,Google Play Store,African Bank,Robin Gobey,1,09/02/2019 00:00:00,Can some please assist. I Kind of argently needed to buy electricity and then I couldnt not access my app. Apparently all of my credentials I entered are wrong... It keeps telling me to see if I put the right data in when asking my pin... Even uninstalled and installed the app again and now my username and pin IS ALSO WRONG. This is ridiculous honestly!,0.0000095069408416748,Negative,"credentials,app,electricity,Kind,right data,username,pin,",NULL
582,Google Play Store,African Bank,Hendrick Zitha,1,09/02/2019 00:00:00,I'm giving you this ?? as appreciation but worried for not consolidating my accounts. It suddens one to be declined as valuable client,0.828100919723511,Postive,"accounts,appreciation,valuable client,",NULL
583,Google Play Store,African Bank,Hendrick Zitha,1,09/02/2019 00:00:00,I'm giving you this ?? as appreciation but worried for not consolidating my accounts. It suddens one to be declined as valuable client,0.828100919723511,Postive,"accounts,appreciation,valuable client,",NULL
584,Google Play Store,African Bank,shenaaz noor,3,10/01/2019 00:00:00,Can't log in to my app was using it all the time and I switched phones and the problem started where I cannot log in.. Spoke to several consultants But couldn't help.. Got message that they lodged a query and will revert back to me in 72 hrs.. Can someone help???,0.000223010778427124,Negative,"consultants,problem,app,query,message,phones,time,",NULL
585,Google Play Store,African Bank,Rebecca M,1,03/12/2018 00:00:00,"Very dissatisfied, your lady on the advert makes this look simple......""You can do your banking anywhere"" she says, at that time she is in the Bush somewhere.... I am at my house with the fast internet and when I try to log in I get told that its impossible to satisfy my request? Get real please!",0.948589503765106,Postive,"banking,request,Bush,time,lady,fast internet,house,advert,",NULL
587,Google Play Store,African Bank,Lerato Mahlakanisi,1,17/10/2018 00:00:00,"Error over and over again ?????? I recently updated my app and it redirected me to a OTP section where is sticks on saying ""Sorry we cannot satisfy your request!"" What on earth are we supposed to do with such services ??? I demand an explanation as to why the App keeps on giving me non-satisfactory responses which seriously gives me a headache. Please fix this problem its everyone's common issue for crying out loud!!!",0,Negative,"services,earth,Error,explanation,headache,request,OTP section,common issue,problem,non-satisfactory responses,app,",NULL
588,Google Play Store,African Bank,Lerato Mahlakanisi,1,11/10/2018 00:00:00,"Error over and over again ?????? I recently updated my app and it redirected me to a OTP section where is sticks on saying ""Sorry we cannot satisfy your request!"" What on earth are we supposed to do with such services ??? I demand an explanation as to why the App keeps on giving me non-satisfactory responses which seriously gives me a headache. Please fix this problem its everyone's common issue for crying out loud!!!",0,Negative,"services,earth,Error,explanation,headache,request,OTP section,common issue,problem,non-satisfactory responses,app,",NULL
589,Google Play Store,African Bank,Mbongeni Mthembu,1,21/09/2018 00:00:00,Downloaded 3 times but still gave me an error just bad bad bad,0.0166353583335876,Negative,"times,error,",NULL
590,Google Play Store,African Bank,Maurice Bant,1,12/03/2018 00:00:00,Still not logging in... keeps closing by itself 31March 2020,0.5,Postive,,NULL
591,Google Play Store,African Bank,Maurice Bant,1,12/03/2018 00:00:00,Still not logging in... keeps closing by itself 31March 2020,0.5,Postive,,NULL
586,Google Play Store,African Bank,Louw Coetzer,5,10/11/2018 00:00:00,"My app also did not want to open and after proper investigation I have found that my phone did not comply with some of the advanced security checks done by the app - more specifically the phone was previously rooted and even though the process was reversed, certain ""one-way"" security features were activated on the phone which caused it to fail certain security checks (obviously passing my other bank app's less stringent tests). The problem has now been resolved. I also bank with Capitec, and Tyme Bank and after doing a SIM swap the African Bank app was the only app out of the three which disabled APP access to my account in order to prevent possible Sim-Hijacking which is ever increasing in South Africa. A quick visit to the local branch in Robertson was all it took to verify that it was indeed me who requested the Sim Swap. I further found the local branch staff to be most helpful and I will definitely recommend new patrons.",0.00144079327583313,Negative,"problem,proper investigation,new patrons,South Africa,Capitec,Robertson,stringent tests,process,quick visit,account,order,local branch staff,possible Sim-Hijacking,advanced security checks,security features,certain security checks,Sim Swap,Tyme Bank,bank apps,phone,APP access,African Bank app,",NULL
593,Google Play Store,African Bank,Nastasia Erasmus,1,19/09/2016 00:00:00,"I selected to pay one of my accounts, but before it completed it gave an error message so I selected to complete again, received the message to say transaction complete only to find it had gone out of my account twice. Even though it is a duplicate I didn't receive a reversal. It forgets my biometrics . It says error most of the time when trying to log in I go on to check my balance, nothing, just options to open an account.",0.000341892242431641,Negative,"biometrics,accounts,time,balance,reversal,duplicate,options,transaction complete,error message,",NULL
594,Google Play Store,African Bank,Teboho Chere,3,02/09/2016 00:00:00,My updated review goes with request for recurring interaccount transfers instead of recurring payments only,0.213693559169769,Negative,"updated review,request,recurring interaccount transfers,recurring payments,",NULL
595,Google Play Store,African Bank,Jacky Briel,1,07/08/2013 00:00:00,"Downloaded the app, it doesn't work, I tried to register when entering my mobile number, it doesn't accept the whole number, I can't move forward from there and the POP up keeps saying incorrect mobile number, yet I cannot enter my number. The app changes it automatically.",0.0000281929969787598,Negative,"POP,app changes,incorrect mobile number,",NULL
597,Google Play Store,Bidvest Bank,Ley1,5,31/03/2020 00:00:00,"I wish they can be a way of hiding my accounts on the Home screen, really even wished that the all App can be hidden on the phone screen ""sounds secure right!!""",0.765578985214234,Postive,"App,way,accounts,Home screen,phone screen,",NULL
607,Google Play Store,Bidvest Bank,Rachel Paswa,1,30/10/2021 00:00:00,"This app isn't great at all, I have been having trouble just login in its failing to accept my login details for 3 days now",0.0000823140144348144,Negative,"app,trouble,days,login details,",NULL
608,Google Play Store,Bidvest Bank,Higher Realms,5,30/10/2021 00:00:00,Great and Tanya at The Branch in Cape Town very efficient graceful and knowledgeable,0.990299880504608,Postive,"Tanya,Cape Town,Branch,",NULL
611,Google Play Store,Bidvest Bank,Mawell Muriya,5,30/10/2021 00:00:00,Fast and easy,0.893832802772522,Postive,,NULL
635,Google Play Store,Bidvest Bank,sakkie v/d Mescht,3,30/09/2019 00:00:00,Good app,0.894477844238281,Postive,"Good app,",NULL
718,Google Play Store,Bidvest Bank,Fritz Greub,5,29/10/2021 00:00:00,GENERAL,0.5,Postive,,NULL
719,Google Play Store,Bidvest Bank,Sandi Mackenzie,5,29/10/2021 00:00:00,Excellent,0.969902276992798,Postive,,NULL
612,Google Play Store,Bidvest Bank,webby beats,4,30/10/2021 00:00:00,"I don't like how it only works when you have data or connected to wifi, that's really inconvenient",0.000861048698425293,Negative,"data,wifi,",NULL
613,Google Play Store,Bidvest Bank,Racine Vadivelu,5,30/10/2021 00:00:00,great app and service,0.91209888458252,Postive,"service,great app,",NULL
614,Google Play Store,Bidvest Bank,Phathu Sebastian,5,30/10/2021 00:00:00,it is good working with you guy,0.829455554485321,Postive,"guy,good working,",NULL
615,Google Play Store,Bidvest Bank,brian mocumi,5,30/10/2021 00:00:00,so far so good,0.964836478233337,Postive,,NULL
616,Google Play Store,Bidvest Bank,Nolukhanyo Mbulawa,5,30/10/2021 00:00:00,the best,0.941421627998352,Postive,"best,",NULL
617,Google Play Store,Bidvest Bank,Taurai Madi,5,30/10/2021 00:00:00,Very excellent,0.969902276992798,Postive,,NULL
618,Google Play Store,Bidvest Bank,Helena Faught,5,30/10/2021 00:00:00,only the best,0.883207380771637,Postive,"best,",NULL
619,Google Play Store,Bidvest Bank,Vivian Offei,5,30/10/2019 00:00:00,"So far, so good. But the only problem I have is, when my expire and my money freezes. Because I have children, who need to eat, and go to school. That stresses me a lot. Otherwise Bidvest Bank is great. Thank you",0.197646707296371,Negative,"lot,school,children,problem,money freezes,Bidvest Bank,",NULL
620,Google Play Store,Bidvest Bank,Margaret Ogwoka,5,30/10/2019 00:00:00,Smooth,0.969902276992798,Postive,,NULL
621,Google Play Store,Bidvest Bank,Lindelwa Uche,1,30/09/2021 00:00:00,"Am not happy at all because this app is too slow when you transfare money to other accounts it will be one or two days before it will appear to the receiver... 2.The issue of updating it takes a lot of data's without being successful 3.Even my own salary is always delayed with two days while other colleagues have received their own salary immediately, the same day it was transferred....",0.000324904918670654,Negative,"receiver,colleagues,accounts,issue,lot of datas,app,transfare money,days,salary,",NULL
622,Google Play Store,Bidvest Bank,tracy muller,5,30/09/2021 00:00:00,fantabulous,0.969902276992798,Postive,,NULL
623,Google Play Store,Bidvest Bank,Buti Eric,5,30/09/2021 00:00:00,"Good app ,it works excellent",0.904716730117798,Postive,"Good app,",NULL
624,Google Play Store,Bidvest Bank,Pat Life,5,30/09/2021 00:00:00,very helpful and good so far,0.976288616657257,Postive,,NULL
625,Google Play Store,Bidvest Bank,Thabang Ramaoka,5,30/09/2021 00:00:00,just amazing. best bank,0.996785759925842,Postive,"best bank,",NULL
626,Google Play Store,Bidvest Bank,Nokuthula Nozipho Xulu,5,30/09/2021 00:00:00,unable to open application from ny account..need to trasfer from save account to grow account,0.0861784815788269,Negative,"open application,ny account,",NULL
627,Google Play Store,Bidvest Bank,Neelskruger Neelskruger,5,30/09/2021 00:00:00,Excellent,0.969902276992798,Postive,,NULL
628,Google Play Store,Bidvest Bank,Joseph Million,5,30/09/2021 00:00:00,Machine operating,0.5,Postive,"Machine,",NULL
629,Google Play Store,Bidvest Bank,Eliza Oyama,5,30/09/2021 00:00:00,Was quick and easy,0.979619264602661,Postive,,NULL
630,Google Play Store,Bidvest Bank,Thulani Mkrola,5,30/09/2021 00:00:00,Good app,0.894477844238281,Postive,"Good app,",NULL
631,Google Play Store,Bidvest Bank,Patrick Hicks,5,30/09/2021 00:00:00,Everyone should change to bidvest you only gain best move I've ever made,0.951772451400757,Postive,,NULL
632,Google Play Store,Bidvest Bank,A Google user,4,30/09/2021 00:00:00,so much help its makes things easier,0.89831680059433,Postive,"things easier,help,",NULL
633,Google Play Store,Bidvest Bank,F R,5,30/09/2020 00:00:00,this the best bank app I've known,0.834099650382996,Postive,"best bank app,",NULL
634,Google Play Store,Bidvest Bank,A Google user,1,30/09/2020 00:00:00,why taking so to update,0.246586531400681,Negative,,NULL
636,Google Play Store,Bidvest Bank,Bradley Crotz,5,30/09/2019 00:00:00,Only problem is you need airtime to access your funds. What if you dont have airtime or data but you want to buy on the app?,0.0000930130481719971,Negative,"app,funds,problem,data,dont,airtime,",NULL
637,Google Play Store,Bidvest Bank,Ratombo Group,4,30/08/2021 00:00:00,love it,0.966345489025116,Postive,,NULL
638,Google Play Store,Bidvest Bank,samuel ngure,5,30/08/2021 00:00:00,"i love it,it just needs a few things to be made a bit more user friendly and easy to understand",0.99414712190628,Postive,"things,user friendly,",NULL
639,Google Play Store,Bidvest Bank,Ezra Mabasa,2,30/08/2021 00:00:00,Extreme slow and limited,0.088176965713501,Negative,,NULL
640,Google Play Store,Bidvest Bank,Bro,4,30/08/2021 00:00:00,New app. Keep watching it.,0.940238416194916,Postive,,NULL
641,Google Play Store,Bidvest Bank,Oraclepedia,4,30/08/2021 00:00:00,Best bank in the world,0.977901458740234,Postive,"world,Best bank,",NULL
642,Google Play Store,Bidvest Bank,vukosi mathebula,5,30/08/2021 00:00:00,Good app,0.894477844238281,Postive,"Good app,",NULL
643,Google Play Store,Bidvest Bank,Vusumuzi Zikalala,3,30/08/2021 00:00:00,Ok,0.790407240390778,Postive,,NULL
644,Google Play Store,Bidvest Bank,Samukelo Trevor,5,30/08/2021 00:00:00,Fast,0.5,Postive,,NULL
645,Google Play Store,Bidvest Bank,Joe Grobler,5,30/08/2021 00:00:00,Greatest,0.969902276992798,Postive,,NULL
646,Google Play Store,Bidvest Bank,Maxwell Mohale,5,30/08/2021 00:00:00,Excellent,0.969902276992798,Postive,,NULL
647,Google Play Store,Bidvest Bank,Stewart Kamwimba,5,30/08/2021 00:00:00,Excellent,0.969902276992798,Postive,,NULL
648,Google Play Store,Bidvest Bank,Tillalouise Du Toit,5,30/08/2020 00:00:00,Good,0.969902276992798,Postive,,NULL
649,Google Play Store,Bidvest Bank,Mbulungeni Enoch Nengovhela,4,30/08/2018 00:00:00,Splendid. But I wish one can clear old notifications after reading them,0.881558001041412,Postive,"old notifications,",NULL
650,Google Play Store,Bidvest Bank,zandile vuyokazi mazomba,5,30/07/2021 00:00:00,Great App and I love it....,0.988207638263702,Postive,"Great App,",NULL
651,Google Play Store,Bidvest Bank,carol lindiwe nkoana,4,30/07/2021 00:00:00,its fast and convient n i just love thats its secure banking,0.993737101554871,Postive,"secure banking,thats,convient n i,",NULL
652,Google Play Store,Bidvest Bank,Josue Rukundo,1,30/07/2021 00:00:00,I can't log in and I have grow account ready,0.5,Postive,"account ready,",NULL
653,Google Play Store,Bidvest Bank,Thabo Khubelu,4,30/07/2020 00:00:00,Life made simple,0.866286516189575,Postive,"Life,",NULL
654,Google Play Store,Bidvest Bank,Stephanie Greaves,5,30/07/2019 00:00:00,love this app,0.905163586139679,Postive,"app,",NULL
655,Google Play Store,Bidvest Bank,Mark Niemann,5,30/07/2019 00:00:00,excellent product,0.963739633560181,Postive,"excellent product,",NULL
656,Google Play Store,Bidvest Bank,Nkululeko Hashe,5,30/07/2019 00:00:00,Love it,0.966345489025116,Postive,,NULL
657,Google Play Store,Bidvest Bank,A Google user,5,30/07/2014 00:00:00,good,0.969902276992798,Postive,,NULL
658,Google Play Store,Bidvest Bank,0836858474 phakamisa,4,30/05/2019 00:00:00,I cant buy aitime on my lesotho number,0.0595368444919586,Negative,"lesotho number,aitime,",NULL
659,Google Play Store,Bidvest Bank,Dummy X,1,30/05/2019 00:00:00,the worst possible banking app,0.0941759645938873,Negative,"worst possible banking app,",NULL
660,Google Play Store,Bidvest Bank,Siyabonga Ziqubu,5,30/04/2021 00:00:00,User friendly,0.969902276992798,Postive,"User friendly,",NULL
661,Google Play Store,Bidvest Bank,Vezi Mdluli,5,30/04/2021 00:00:00,Great app,0.894477844238281,Postive,"Great app,",NULL
662,Google Play Store,Bidvest Bank,Queens Court,5,30/04/2021 00:00:00,Good,0.969902276992798,Postive,,NULL
663,Google Play Store,Bidvest Bank,Ntomfuhti Thusi,5,30/04/2019 00:00:00,"I am happy with this app , it's more convenient",0.94988340139389,Postive,"app,",NULL
664,Google Play Store,Bidvest Bank,A Google user,1,30/04/2019 00:00:00,when I must update bidvest acc than I must delete my other important acc that's bad,0.0178006291389465,Negative,"bidvest acc,important acc,",NULL
665,Google Play Store,Bidvest Bank,Dolly Mogosi,5,30/04/2019 00:00:00,It's user friendly,0.950366318225861,Postive,"user friendly,",NULL
666,Google Play Store,Bidvest Bank,A Google user,4,30/04/2019 00:00:00,good,0.969902276992798,Postive,,NULL
667,Google Play Store,Bidvest Bank,Cindy Conradie,5,30/04/2019 00:00:00,excellent,0.969902276992798,Postive,,NULL
668,Google Play Store,Bidvest Bank,Thami Ngwenya,5,30/04/2019 00:00:00,best bank ever,0.981416821479797,Postive,"best bank,",NULL
669,Google Play Store,Bidvest Bank,Kevine Banouanina,5,30/04/2019 00:00:00,work done,0.15442681312561,Negative,"work,",NULL
670,Google Play Store,Bidvest Bank,NHLAKANIPHO SHABANGU,4,29/12/2021 00:00:00,Great app easy to use,0.852420568466186,Postive,"Great app easy,",NULL
671,Google Play Store,Bidvest Bank,Xolani Maweni,5,29/12/2021 00:00:00,Great reliable App thanks,0.999414384365082,Postive,"Great reliable App thanks,",NULL
672,Google Play Store,Bidvest Bank,Opoku Manu,2,29/12/2021 00:00:00,I can't log in,0.5,Postive,,NULL
673,Google Play Store,Bidvest Bank,Mpai Mofokeng,5,29/12/2021 00:00:00,Great,0.969902276992798,Postive,,NULL
674,Google Play Store,Bidvest Bank,Zukile Hodolo,4,29/12/2021 00:00:00,exceptional,0.969902276992798,Postive,,NULL
675,Google Play Store,Bidvest Bank,Mologadi Kate,5,29/12/2021 00:00:00,Excellent ??,0.969902276992798,Postive,,NULL
676,Google Play Store,Bidvest Bank,Andre Bladwell,5,29/12/2021 00:00:00,Awesome,0.969902276992798,Postive,,NULL
677,Google Play Store,Bidvest Bank,Fortunate Rori,5,29/12/2021 00:00:00,Good,0.969902276992798,Postive,,NULL
678,Google Play Store,Bidvest Bank,Prince Donavan Letsoalo,5,29/12/2021 00:00:00,Eyta just accept the stars,0.5,Postive,"stars,Eyta,",NULL
679,Google Play Store,Bidvest Bank,Luyabona Mentyisi,1,29/12/2021 00:00:00,Bad bad bad.,0.0393125414848328,Negative,,NULL
680,Google Play Store,Bidvest Bank,DALE PARKER,4,29/11/2021 00:00:00,Once you've entered the platform it is very user friendly; you actually get more than expected. When you start exploring it more thoroughly you come to realize how versatile this app actually is ... an amazing saving and trading platform for a novice like myself.,0.995003163814545,Postive,"user friendly,novice,app,amazing saving,trading platform,",NULL
681,Google Play Store,Bidvest Bank,Cosmos Gebre,5,29/11/2021 00:00:00,a very kind service for foreigners who resides in south africa no hussle,0.883113265037536,Postive,"hussle,kind service,south africa,foreigners,",NULL
682,Google Play Store,Bidvest Bank,ruth71 Fitzgerald,5,29/11/2021 00:00:00,The best service,0.950063228607178,Postive,"best service,",NULL
683,Google Play Store,Bidvest Bank,Emma Kongolo,5,29/11/2021 00:00:00,awesome,0.969902276992798,Postive,,NULL
684,Google Play Store,Bidvest Bank,Peter Ndiale,4,29/11/2021 00:00:00,Great app,0.894477844238281,Postive,"Great app,",NULL
685,Google Play Store,Bidvest Bank,umarz muhu,5,29/11/2021 00:00:00,excellent,0.969902276992798,Postive,,NULL
686,Google Play Store,Bidvest Bank,Janielle Mara Hulme,5,29/11/2021 00:00:00,Super Happy With My Bidvest Bank App,0.968746960163116,Postive,"Bidvest Bank App,",NULL
687,Google Play Store,Bidvest Bank,Prudence Mokone,5,29/11/2021 00:00:00,It has been a great experience,0.943570911884308,Postive,"great experience,",NULL
688,Google Play Store,Bidvest Bank,elvis Nenyasha,5,29/11/2021 00:00:00,No complain everthing fine,0.947329163551331,Postive,"everthing,",NULL
689,Google Play Store,Bidvest Bank,Gabriel Landry Ngouessy-Guibinga,5,29/11/2021 00:00:00,Good,0.969902276992798,Postive,,NULL
690,Google Play Store,Bidvest Bank,Salome Van Rensburg,5,29/11/2021 00:00:00,Excellent,0.969902276992798,Postive,,NULL
692,Google Play Store,Bidvest Bank,Zubeida Small,5,29/11/2021 00:00:00,Very easy to use,0.912911772727966,Postive,,NULL
691,Google Play Store,Bidvest Bank,Jeremy Butler,5,29/11/2021 00:00:00,"Great for banking. Could be even better if it allowed for direct communication with customer service. Scanning documents, live chats etc. And have banking available i.e access to loans, stop debit orders etc.",0.999666094779968,Postive,"documents,customer service,direct communication,debit orders,live chats,loans,e access,banking available i,",NULL
693,Google Play Store,Bidvest Bank,Sithembiso Sithembiso,5,29/11/2021 00:00:00,Good experience on it,0.932412087917328,Postive,"Good experience,",NULL
694,Google Play Store,Bidvest Bank,Eskayen Projects,5,29/11/2021 00:00:00,Easy to use,0.912911772727966,Postive,,NULL
695,Google Play Store,Bidvest Bank,R76 richard,5,29/11/2020 00:00:00,This app is lit,0.106436669826508,Negative,"app,",NULL
696,Google Play Store,Bidvest Bank,dyllan musundudza,5,29/11/2018 00:00:00,It's the best,0.936921238899231,Postive,"best,",NULL
697,Google Play Store,Bidvest Bank,Dennis Mambanje,1,29/11/2018 00:00:00,poor,0.0521460473537445,Negative,,NULL
698,Google Play Store,Bidvest Bank,Zuks Emmanuel,4,29/11/2018 00:00:00,Neat,0.969902276992798,Postive,,NULL
699,Google Play Store,Bidvest Bank,blue sibisi,5,29/11/2018 00:00:00,Convenience,0.969902276992798,Postive,"Convenience,",NULL
700,Google Play Store,Bidvest Bank,Shabani Darck,5,29/11/2018 00:00:00,Not bad,0.969902276992798,Postive,,NULL
701,Google Play Store,Bidvest Bank,A Google user,5,29/11/2018 00:00:00,great app,0.894477844238281,Postive,"great app,",NULL
702,Google Play Store,Bidvest Bank,Elizabeth Vosloo,5,29/10/2021 00:00:00,Awesome!,0.969902276992798,Postive,,NULL
703,Google Play Store,Bidvest Bank,Zintle Smith,5,29/10/2021 00:00:00,I love the app but not liking that you need data to access it as sometimes you might have an emergency.,0.00731188058853149,Negative,"emergency,data,app,",NULL
704,Google Play Store,Bidvest Bank,Bronwyn Jones,3,29/10/2021 00:00:00,"where is the equities play function, to train & gain experience before trading",0.236931085586548,Negative,"equities,trading,gain experience,function,",NULL
705,Google Play Store,Bidvest Bank,Amos Maponya,5,29/10/2021 00:00:00,Excellent,0.969902276992798,Postive,,NULL
706,Google Play Store,Bidvest Bank,Ben Bullock,5,29/10/2021 00:00:00,brillant,0.5,Postive,"brillant,",NULL
707,Google Play Store,Bidvest Bank,Thabo Mathebula,5,29/10/2021 00:00:00,We experience a fantastic service app?,0.869677662849426,Postive,"fantastic service app,",NULL
708,Google Play Store,Bidvest Bank,Seif Ally,5,29/10/2021 00:00:00,nice app I like it,0.952670156955719,Postive,"nice app,",NULL
709,Google Play Store,Bidvest Bank,SIBUSISO SIBIYA,3,29/10/2021 00:00:00,This App is great but it needs to get upgraded so that Lotto and electricity can be bought properly on this App,0.910692989826202,Postive,"electricity,Lotto,App,",NULL
710,Google Play Store,Bidvest Bank,Claire Gillam,5,29/10/2021 00:00:00,Love this app!!! Makes internet banking simple for somebody like myself that is not very tech savvy!,0.984494209289551,Postive,"app,tech savvy,internet banking simple,",NULL
711,Google Play Store,Bidvest Bank,Ashton Martheze,5,29/10/2021 00:00:00,enjoy it so much its relyable.,0.923355579376221,Postive,,NULL
712,Google Play Store,Bidvest Bank,tebogo Lentswetshipi,5,29/10/2021 00:00:00,Great and convenient,0.976802885532379,Postive,,NULL
713,Google Play Store,Bidvest Bank,Smanga Winkel,5,29/10/2021 00:00:00,Great opportunities with this bank,0.931676268577576,Postive,"bank,Great opportunities,",NULL
714,Google Play Store,Bidvest Bank,Manuel Ramoloko,4,29/10/2021 00:00:00,Good app,0.894477844238281,Postive,"Good app,",NULL
715,Google Play Store,Bidvest Bank,Lelanie Lombard,5,29/10/2021 00:00:00,Good,0.969902276992798,Postive,,NULL
716,Google Play Store,Bidvest Bank,Ellington Nyathi,5,29/10/2021 00:00:00,Excellent app,0.894477844238281,Postive,"Excellent app,",NULL
717,Google Play Store,Bidvest Bank,wycliff branc,5,29/10/2021 00:00:00,Good,0.969902276992798,Postive,,NULL
721,Google Play Store,Bidvest Bank,Xolela Vinqi,1,29/10/2019 00:00:00,It would be good if one can have access. Downloaded the app and it says I don't have a grow account though I have it. Called the cl center and they asked for a screenshot to be emailed which I sent immediately 2weeks later still can't log in and no one can give me a response.,0.000326067209243774,Negative,"response,weeks,app,screenshot,center,grow account,access,",NULL
722,Google Play Store,Bidvest Bank,Jan Mputla,5,29/10/2018 00:00:00,Awesome,0.969902276992798,Postive,,NULL
723,Google Play Store,Bidvest Bank,ntokozo mavimbela,5,29/09/2020 00:00:00,It's cool,0.950366318225861,Postive,,NULL
724,Google Play Store,Bidvest Bank,Philile Mthethwa,5,29/09/2020 00:00:00,Great!,0.969902276992798,Postive,,NULL
725,Google Play Store,Bidvest Bank,Morake Mathibe,4,29/09/2019 00:00:00,Excellent,0.969902276992798,Postive,,NULL
726,Google Play Store,Bidvest Bank,A Google user,5,29/08/2021 00:00:00,Awesome App easy to use,0.945292294025421,Postive,"Awesome App easy,",NULL
727,Google Play Store,Bidvest Bank,paulpeshut taon,5,29/08/2021 00:00:00,Peshut,0.5,Postive,"Peshut,",NULL
